year,count,min_days,max_days,avg_days
2017,2711,0,4949,145.4
2018,11733,0,5215,175.4
2019,14208,0,5513,172.7
2020,30923,0,6724,162.2
2021,45179,0,6416,139.2
2022,60502,0,6675,125.3
2023,61363,0,5416,122
2024,97405,0,5628,122.3
2025,62544,0,6858,114.5
2026,24642,0,5954,120.2
