year,count,min_days,max_days,avg_days
2004,1,0,0,0
2005,7,0,225,32.1
2006,3,0,400,133.3
2007,1,799,799,799
2008,2,0,1337,668.5
2009,5,0,1831,1276
2010,1,1997,1997,1997
2011,3,1875,2230,2000.3
2012,1,2157,2157,2157
2013,1,2711,2711,2711
2014,1,2809,2809,2809
2015,2,3102,3183,3142.5
2016,4,3332,3582,3432.5
2018,1,3954,3954,3954
2019,2,4198,4377,4287.5
2021,1,4726,4726,4726
2022,1,4945,4945,4945
2023,5,0,5404,3177
2024,5,0,5572,2211.4
2025,1,0,0,0
