cve,cvss_v3_base,cvss_v3_severity,cvss_v2_base,last_fetched
CVE-2019-2616,NA,NA,NA,2026-04-20
CVE-2019-16920,NA,NA,NA,2026-04-20
CVE-2019-15107,NA,NA,NA,2026-04-20
CVE-2019-12991,NA,NA,NA,2026-04-20
CVE-2019-12989,9.8,CRITICAL,7.5,2026-04-20
CVE-2019-11043,NA,NA,NA,2026-04-20
CVE-2019-10068,NA,NA,NA,2026-04-20
CVE-2019-1003030,NA,NA,NA,2026-04-20
CVE-2019-0903,NA,NA,NA,2026-04-20
CVE-2018-8414,NA,NA,NA,2026-04-20
CVE-2018-8373,NA,NA,NA,2026-04-20
CVE-2018-6961,NA,NA,NA,2026-04-20
CVE-2018-14839,9.8,CRITICAL,7.5,2026-04-20
CVE-2018-1273,NA,NA,NA,2026-04-20
CVE-2018-11138,NA,NA,NA,2026-04-20
CVE-2018-0147,NA,NA,NA,2026-04-20
CVE-2018-0125,NA,NA,NA,2026-04-20
CVE-2017-6334,NA,NA,NA,2026-04-20
CVE-2017-6316,NA,NA,NA,2026-04-20
CVE-2017-3881,9.8,CRITICAL,10,2026-04-20
CVE-2017-12617,NA,NA,NA,2026-04-20
CVE-2017-12615,NA,NA,NA,2026-04-20
CVE-2017-0146,NA,NA,NA,2026-04-20
CVE-2016-7892,NA,NA,NA,2026-04-20
CVE-2016-4171,NA,NA,NA,2026-04-20
CVE-2016-1555,NA,NA,NA,2026-04-20
CVE-2016-11021,7.2,HIGH,9,2026-04-20
CVE-2016-10174,NA,NA,NA,2026-04-20
CVE-2016-0752,NA,NA,NA,2026-04-20
CVE-2015-4068,NA,NA,NA,2026-04-20
CVE-2015-3035,NA,NA,NA,2026-04-20
CVE-2015-1427,NA,NA,NA,2026-04-20
CVE-2015-1187,NA,NA,NA,2026-04-20
CVE-2015-0666,7.5,HIGH,7.8,2026-04-20
CVE-2014-6332,NA,NA,NA,2026-04-20
CVE-2014-6324,NA,NA,NA,2026-04-20
CVE-2014-6287,NA,NA,NA,2026-04-20
CVE-2014-3120,NA,NA,NA,2026-04-20
CVE-2014-0130,NA,NA,NA,2026-04-20
CVE-2013-5223,NA,NA,NA,2026-04-20
CVE-2013-4810,NA,NA,NA,2026-04-20
CVE-2013-2251,9.8,CRITICAL,9.3,2026-04-20
CVE-2012-1823,NA,NA,NA,2026-04-20
CVE-2010-4345,NA,NA,NA,2026-04-20
CVE-2010-4344,NA,NA,NA,2026-04-20
CVE-2010-3035,NA,NA,NA,2026-04-20
CVE-2010-2861,NA,NA,NA,2026-04-20
CVE-2009-2055,NA,NA,NA,2026-04-20
CVE-2009-1151,9.8,CRITICAL,7.5,2026-04-20
CVE-2009-0927,NA,NA,NA,2026-04-20
CVE-2005-2773,NA,NA,NA,2026-04-20
CVE-2020-5135,NA,NA,NA,2026-04-20
CVE-2019-1405,NA,NA,NA,2026-04-20
CVE-2019-1322,NA,NA,NA,2026-04-20
CVE-2019-1315,NA,NA,NA,2026-04-20
CVE-2019-1253,NA,NA,NA,2026-04-20
CVE-2019-1132,7.8,HIGH,7.2,2026-04-20
CVE-2019-1129,NA,NA,NA,2026-04-20
CVE-2019-1069,NA,NA,NA,2026-04-20
CVE-2019-1064,NA,NA,NA,2026-04-20
CVE-2019-0841,NA,NA,NA,2026-04-20
CVE-2019-0543,NA,NA,NA,2026-04-20
CVE-2018-8120,NA,NA,NA,2026-04-20
CVE-2017-0101,7.8,HIGH,6.8,2026-04-20
CVE-2016-3309,NA,NA,NA,2026-04-20
CVE-2015-2546,NA,NA,NA,2026-04-20
CVE-2022-26486,NA,NA,NA,2026-04-20
CVE-2022-26485,NA,NA,NA,2026-04-20
CVE-2021-21973,NA,NA,NA,2026-04-20
CVE-2020-8218,NA,NA,NA,2026-04-20
CVE-2019-11581,NA,NA,NA,2026-04-20
CVE-2017-6077,9.8,CRITICAL,10,2026-04-20
CVE-2016-6277,NA,NA,NA,2026-04-20
CVE-2013-0631,NA,NA,NA,2026-04-20
CVE-2013-0629,NA,NA,NA,2026-04-20
CVE-2013-0625,NA,NA,NA,2026-04-20
CVE-2009-3960,NA,NA,NA,2026-04-20
CVE-2022-20708,NA,NA,NA,2026-04-20
CVE-2022-20703,10,CRITICAL,7.2,2026-04-20
CVE-2022-20701,NA,NA,NA,2026-04-20
CVE-2022-20700,NA,NA,NA,2026-04-20
CVE-2022-20699,NA,NA,NA,2026-04-20
CVE-2021-41379,NA,NA,NA,2026-04-20
CVE-2020-1938,NA,NA,NA,2026-04-20
CVE-2020-11899,NA,NA,NA,2026-04-20
CVE-2019-16928,9.8,CRITICAL,7.5,2026-04-20
CVE-2019-1652,NA,NA,NA,2026-04-20
CVE-2019-1297,NA,NA,NA,2026-04-20
CVE-2018-8581,NA,NA,NA,2026-04-20
CVE-2018-8298,NA,NA,NA,2026-04-20
CVE-2018-0180,NA,NA,NA,2026-04-20
CVE-2018-0179,NA,NA,NA,2026-04-20
CVE-2018-0175,NA,NA,NA,2026-04-20
CVE-2018-0174,8.6,HIGH,7.8,2026-04-20
CVE-2018-0173,NA,NA,NA,2026-04-20
CVE-2018-0172,NA,NA,NA,2026-04-20
CVE-2018-0167,NA,NA,NA,2026-04-20
CVE-2018-0161,NA,NA,NA,2026-04-20
CVE-2018-0159,NA,NA,NA,2026-04-20
CVE-2018-0158,NA,NA,NA,2026-04-20
CVE-2018-0156,7.5,HIGH,7.8,2026-04-20
CVE-2018-0155,NA,NA,NA,2026-04-20
CVE-2018-0154,NA,NA,NA,2026-04-20
CVE-2018-0151,NA,NA,NA,2026-04-20
CVE-2017-8540,NA,NA,NA,2026-04-20
CVE-2017-6744,NA,NA,NA,2026-04-20
CVE-2017-6743,8.8,HIGH,9,2026-04-20
CVE-2017-6740,NA,NA,NA,2026-04-20
CVE-2017-6739,NA,NA,NA,2026-04-20
CVE-2017-6738,NA,NA,NA,2026-04-20
CVE-2017-6737,NA,NA,NA,2026-04-20
CVE-2017-6736,NA,NA,NA,2026-04-20
CVE-2017-6663,NA,NA,NA,2026-04-20
CVE-2017-6627,7.5,HIGH,5,2026-04-20
CVE-2017-12319,NA,NA,NA,2026-04-20
CVE-2017-12240,NA,NA,NA,2026-04-20
CVE-2017-12238,NA,NA,NA,2026-04-20
CVE-2017-12237,NA,NA,NA,2026-04-20
CVE-2017-12235,NA,NA,NA,2026-04-20
CVE-2017-12234,NA,NA,NA,2026-04-20
CVE-2017-12233,7.5,HIGH,7.8,2026-04-20
CVE-2017-12232,NA,NA,NA,2026-04-20
CVE-2017-12231,NA,NA,NA,2026-04-20
CVE-2017-11826,NA,NA,NA,2026-04-20
CVE-2017-11292,NA,NA,NA,2026-04-20
CVE-2017-0261,NA,NA,NA,2026-04-20
CVE-2017-0001,NA,NA,NA,2026-04-20
CVE-2016-8562,NA,NA,NA,2026-04-20
CVE-2016-7855,8.8,HIGH,9.3,2026-04-20
CVE-2016-7262,NA,NA,NA,2026-04-20
CVE-2016-7193,NA,NA,NA,2026-04-20
CVE-2016-5195,NA,NA,NA,2026-04-20
CVE-2016-4117,NA,NA,NA,2026-04-20
CVE-2016-1019,NA,NA,NA,2026-04-20
CVE-2016-0099,7.8,HIGH,7.2,2026-04-20
CVE-2015-7645,NA,NA,NA,2026-04-20
CVE-2015-5119,NA,NA,NA,2026-04-20
CVE-2015-4902,NA,NA,NA,2026-04-20
CVE-2015-3043,NA,NA,NA,2026-04-20
CVE-2015-2590,NA,NA,NA,2026-04-20
CVE-2015-2545,NA,NA,NA,2026-04-20
CVE-2015-2424,NA,NA,NA,2026-04-20
CVE-2015-2387,7.8,HIGH,7.2,2026-04-20
CVE-2015-1701,NA,NA,NA,2026-04-20
CVE-2015-1642,NA,NA,NA,2026-04-20
CVE-2014-4114,NA,NA,NA,2026-04-20
CVE-2014-0496,NA,NA,NA,2026-04-20
CVE-2013-5065,NA,NA,NA,2026-04-20
CVE-2013-3897,NA,NA,NA,2026-04-20
CVE-2013-3346,9.8,CRITICAL,10,2026-04-20
CVE-2013-1675,NA,NA,NA,2026-04-20
CVE-2013-1347,NA,NA,NA,2026-04-20
CVE-2013-0641,NA,NA,NA,2026-04-20
CVE-2013-0640,NA,NA,NA,2026-04-20
CVE-2013-0632,NA,NA,NA,2026-04-20
CVE-2012-4681,NA,NA,NA,2026-04-20
CVE-2012-1856,NA,NA,NA,2026-04-20
CVE-2012-1723,9.8,CRITICAL,10,2026-04-20
CVE-2012-1535,NA,NA,NA,2026-04-20
CVE-2012-0507,NA,NA,NA,2026-04-20
CVE-2011-3544,NA,NA,NA,2026-04-20
CVE-2011-1889,NA,NA,NA,2026-04-20
CVE-2011-0611,NA,NA,NA,2026-04-20
CVE-2010-3333,NA,NA,NA,2026-04-20
CVE-2010-0232,7.8,HIGH,7.2,2026-04-20
CVE-2010-0188,NA,NA,NA,2026-04-20
CVE-2009-3129,NA,NA,NA,2026-04-20
CVE-2009-1123,NA,NA,NA,2026-04-20
CVE-2008-3431,NA,NA,NA,2026-04-20
CVE-2008-2992,NA,NA,NA,2026-04-20
CVE-2004-0210,NA,NA,NA,2026-04-20
CVE-2002-0367,NA,NA,NA,2026-04-20
CVE-2022-24682,6.1,MEDIUM,4.3,2026-04-20
CVE-2017-8570,NA,NA,NA,2026-04-20
CVE-2017-0222,NA,NA,NA,2026-04-20
CVE-2014-6352,NA,NA,NA,2026-04-20
CVE-2022-23131,NA,NA,NA,2026-04-20
CVE-2022-23134,NA,NA,NA,2026-04-20
CVE-2022-24086,NA,NA,NA,2026-04-20
CVE-2022-0609,8.8,HIGH,6.8,2026-04-20
CVE-2019-0752,NA,NA,NA,2026-04-20
CVE-2018-8174,NA,NA,NA,2026-04-20
CVE-2018-20250,NA,NA,NA,2026-04-20
CVE-2018-15982,NA,NA,NA,2026-04-20
CVE-2017-9841,NA,NA,NA,2026-04-20
CVE-2014-1761,NA,NA,NA,2026-04-20
CVE-2013-3906,7.8,HIGH,9.3,2026-04-20
CVE-2022-22620,NA,NA,NA,2026-04-20
CVE-2021-36934,NA,NA,NA,2026-04-20
CVE-2020-0796,NA,NA,NA,2026-04-20
CVE-2018-1000861,NA,NA,NA,2026-04-20
CVE-2017-9791,NA,NA,NA,2026-04-20
CVE-2017-8464,NA,NA,NA,2026-04-20
CVE-2017-10271,NA,NA,NA,2026-04-20
CVE-2017-0263,7.8,HIGH,7.2,2026-04-20
CVE-2017-0262,NA,NA,NA,2026-04-20
CVE-2017-0145,NA,NA,NA,2026-04-20
CVE-2017-0144,NA,NA,NA,2026-04-20
CVE-2016-3088,NA,NA,NA,2026-04-20
CVE-2015-2051,NA,NA,NA,2026-04-20
CVE-2015-1635,NA,NA,NA,2026-04-20
CVE-2015-1130,7.8,HIGH,7.2,2026-04-20
CVE-2014-4404,NA,NA,NA,2026-04-20
CVE-2022-21882,NA,NA,NA,2026-04-20
CVE-2022-22587,NA,NA,NA,2026-04-20
CVE-2021-20038,NA,NA,NA,2026-04-20
CVE-2020-5722,NA,NA,NA,2026-04-20
CVE-2020-0787,NA,NA,NA,2026-04-20
CVE-2017-5689,9.8,CRITICAL,10,2026-04-20
CVE-2014-1776,NA,NA,NA,2026-04-20
CVE-2014-6271,NA,NA,NA,2026-04-20
CVE-2014-7169,NA,NA,NA,2026-04-20
CVE-2006-1547,NA,NA,NA,2026-04-20
CVE-2012-0391,NA,NA,NA,2026-04-20
CVE-2018-8453,NA,NA,NA,2026-04-20
CVE-2021-35247,NA,NA,NA,2026-04-20
CVE-2021-32648,8.2,HIGH,6.4,2026-04-20
CVE-2021-25296,NA,NA,NA,2026-04-20
CVE-2021-25297,NA,NA,NA,2026-04-20
CVE-2021-25298,NA,NA,NA,2026-04-20
CVE-2021-40870,NA,NA,NA,2026-04-20
CVE-2021-33766,NA,NA,NA,2026-04-20
CVE-2021-21975,NA,NA,NA,2026-04-20
CVE-2021-21315,7.1,HIGH,4.6,2026-04-20
CVE-2021-22991,NA,NA,NA,2026-04-20
CVE-2020-14864,NA,NA,NA,2026-04-20
CVE-2020-13671,NA,NA,NA,2026-04-20
CVE-2020-11978,NA,NA,NA,2026-04-20
CVE-2020-13927,NA,NA,NA,2026-04-20
CVE-2021-22017,NA,NA,NA,2026-04-20
CVE-2021-36260,NA,NA,NA,2026-04-20
CVE-2020-6572,8.8,HIGH,9.3,2026-04-20
CVE-2019-1458,NA,NA,NA,2026-04-20
CVE-2013-3900,NA,NA,NA,2026-04-20
CVE-2019-2725,NA,NA,NA,2026-04-20
CVE-2019-9670,NA,NA,NA,2026-04-20
CVE-2018-13382,NA,NA,NA,2026-04-20
CVE-2018-13383,NA,NA,NA,2026-04-20
CVE-2019-1579,8.1,HIGH,6.8,2026-04-20
CVE-2019-10149,NA,NA,NA,2026-04-20
CVE-2015-7450,NA,NA,NA,2026-04-20
CVE-2017-1000486,NA,NA,NA,2026-04-20
CVE-2019-7609,NA,NA,NA,2026-04-20
CVE-2021-27860,NA,NA,NA,2026-04-20
CVE-2021-43890,NA,NA,NA,2026-04-20
CVE-2021-4102,8.8,HIGH,6.8,2026-04-20
CVE-2021-44515,NA,NA,NA,2026-04-20
CVE-2019-13272,NA,NA,NA,2026-04-20
CVE-2021-35394,NA,NA,NA,2026-04-20
CVE-2019-7238,NA,NA,NA,2026-04-20
CVE-2019-0193,NA,NA,NA,2026-04-20
CVE-2021-44168,NA,NA,NA,2026-04-20
CVE-2017-17562,NA,NA,NA,2026-04-20
CVE-2017-12149,9.8,CRITICAL,7.5,2026-04-20
CVE-2010-1871,NA,NA,NA,2026-04-20
CVE-2020-17463,NA,NA,NA,2026-04-20
CVE-2020-8816,NA,NA,NA,2026-04-20
CVE-2019-10758,NA,NA,NA,2026-04-20
CVE-2021-44228,NA,NA,NA,2026-04-20
CVE-2020-11261,NA,NA,NA,2026-04-20
CVE-2018-14847,9.1,CRITICAL,6.4,2026-04-20
CVE-2021-37415,NA,NA,NA,2026-04-20
CVE-2021-40438,NA,NA,NA,2026-04-20
CVE-2021-44077,NA,NA,NA,2026-04-20
CVE-2021-22204,NA,NA,NA,2026-04-20
CVE-2021-40449,NA,NA,NA,2026-04-20
CVE-2021-42321,NA,NA,NA,2026-04-20
CVE-2021-42292,NA,NA,NA,2026-04-20
CVE-2021-27104,9.8,CRITICAL,10,2026-04-20
CVE-2021-27102,NA,NA,NA,2026-04-20
CVE-2021-27101,NA,NA,NA,2026-04-20
CVE-2021-27103,NA,NA,NA,2026-04-20
CVE-2021-21017,NA,NA,NA,2026-04-20
CVE-2021-28550,NA,NA,NA,2026-04-20
CVE-2018-4939,NA,NA,NA,2026-04-20
CVE-2018-15961,9.8,CRITICAL,10,2026-04-20
CVE-2018-4878,NA,NA,NA,2026-04-20
CVE-2020-5735,NA,NA,NA,2026-04-20
CVE-2019-2215,NA,NA,NA,2026-04-20
CVE-2020-0041,NA,NA,NA,2026-04-20
CVE-2020-0069,NA,NA,NA,2026-04-20
CVE-2017-9805,NA,NA,NA,2026-04-20
CVE-2021-42013,NA,NA,NA,2026-04-20
CVE-2021-41773,9.8,CRITICAL,4.3,2026-04-20
CVE-2019-0211,NA,NA,NA,2026-04-20
CVE-2016-4437,NA,NA,NA,2026-04-20
CVE-2019-17558,NA,NA,NA,2026-04-20
CVE-2020-17530,NA,NA,NA,2026-04-20
CVE-2017-5638,NA,NA,NA,2026-04-20
CVE-2018-11776,NA,NA,NA,2026-04-20
CVE-2021-30858,8.8,HIGH,6.8,2026-04-20
CVE-2019-6223,NA,NA,NA,2026-04-20
CVE-2021-30860,NA,NA,NA,2026-04-20
CVE-2020-27930,NA,NA,NA,2026-04-20
CVE-2021-30807,NA,NA,NA,2026-04-20
CVE-2020-27950,NA,NA,NA,2026-04-20
CVE-2020-27932,NA,NA,NA,2026-04-20
CVE-2020-9818,8.8,HIGH,6.8,2026-04-20
CVE-2020-9819,NA,NA,NA,2026-04-20
CVE-2021-30762,NA,NA,NA,2026-04-20
CVE-2021-1782,NA,NA,NA,2026-04-20
CVE-2021-1870,NA,NA,NA,2026-04-20
CVE-2021-1871,NA,NA,NA,2026-04-20
CVE-2021-1879,NA,NA,NA,2026-04-20
CVE-2021-30661,NA,NA,NA,2026-04-20
CVE-2021-30666,8.8,HIGH,6.8,2026-04-20
CVE-2021-30713,NA,NA,NA,2026-04-20
CVE-2021-30657,NA,NA,NA,2026-04-20
CVE-2021-30665,NA,NA,NA,2026-04-20
CVE-2021-30663,NA,NA,NA,2026-04-20
CVE-2021-30761,NA,NA,NA,2026-04-20
CVE-2021-30869,NA,NA,NA,2026-04-20
CVE-2020-9859,7.8,HIGH,7.2,2026-04-20
CVE-2021-20090,NA,NA,NA,2026-04-20
CVE-2021-27562,NA,NA,NA,2026-04-20
CVE-2021-28664,NA,NA,NA,2026-04-20
CVE-2021-28663,NA,NA,NA,2026-04-20
CVE-2019-3398,8.8,HIGH,9,2026-04-20
CVE-2021-26084,NA,NA,NA,2026-04-20
CVE-2019-11580,NA,NA,NA,2026-04-20
CVE-2019-3396,NA,NA,NA,2026-04-20
CVE-2021-42258,NA,NA,NA,2026-04-20
CVE-2020-3452,NA,NA,NA,2026-04-20
CVE-2020-3580,NA,NA,NA,2026-04-20
CVE-2021-1497,NA,NA,NA,2026-04-20
CVE-2021-1498,9.8,CRITICAL,7.5,2026-04-20
CVE-2018-0171,NA,NA,NA,2026-04-20
CVE-2020-3118,NA,NA,NA,2026-04-20
CVE-2020-3566,NA,NA,NA,2026-04-20
CVE-2020-3569,NA,NA,NA,2026-04-20
CVE-2020-3161,NA,NA,NA,2026-04-20
CVE-2019-1653,NA,NA,NA,2026-04-20
CVE-2018-0296,7.5,HIGH,5,2026-04-20
CVE-2019-13608,NA,NA,NA,2026-04-20
CVE-2020-8193,NA,NA,NA,2026-04-20
CVE-2020-8195,NA,NA,NA,2026-04-20
CVE-2020-8196,NA,NA,NA,2026-04-20
CVE-2019-19781,NA,NA,NA,2026-04-20
CVE-2019-11634,NA,NA,NA,2026-04-20
CVE-2020-29557,9.8,CRITICAL,10,2026-04-20
CVE-2020-25506,NA,NA,NA,2026-04-20
CVE-2018-15811,NA,NA,NA,2026-04-20
CVE-2018-18325,NA,NA,NA,2026-04-20
CVE-2017-9822,NA,NA,NA,2026-04-20
CVE-2019-15752,NA,NA,NA,2026-04-20
CVE-2020-8515,NA,NA,NA,2026-04-20
CVE-2018-7600,NA,NA,NA,2026-04-20
CVE-2021-22205,10,CRITICAL,7.5,2026-04-20
CVE-2018-6789,9.8,CRITICAL,7.5,2026-04-20
CVE-2020-8657,NA,NA,NA,2026-04-20
CVE-2020-8655,NA,NA,NA,2026-04-20
CVE-2020-5902,NA,NA,NA,2026-04-20
CVE-2021-22986,NA,NA,NA,2026-04-20
CVE-2021-35464,9.8,CRITICAL,10,2026-04-20
CVE-2019-5591,NA,NA,NA,2026-04-20
CVE-2020-12812,NA,NA,NA,2026-04-20
CVE-2018-13379,NA,NA,NA,2026-04-20
CVE-2020-16010,NA,NA,NA,2026-04-20
CVE-2020-15999,NA,NA,NA,2026-04-20
CVE-2021-21166,NA,NA,NA,2026-04-20
CVE-2020-16017,9.6,CRITICAL,6.8,2026-04-20
CVE-2021-37976,NA,NA,NA,2026-04-20
CVE-2020-16009,NA,NA,NA,2026-04-20
CVE-2021-30632,NA,NA,NA,2026-04-20
CVE-2020-16013,NA,NA,NA,2026-04-20
CVE-2021-30633,NA,NA,NA,2026-04-20
CVE-2021-21148,NA,NA,NA,2026-04-20
CVE-2021-37973,9.6,CRITICAL,6.8,2026-04-20
CVE-2021-30551,NA,NA,NA,2026-04-20
CVE-2021-37975,NA,NA,NA,2026-04-20
CVE-2020-6418,NA,NA,NA,2026-04-20
CVE-2021-30554,NA,NA,NA,2026-04-20
CVE-2021-21206,NA,NA,NA,2026-04-20
CVE-2021-38000,NA,NA,NA,2026-04-20
CVE-2021-38003,8.8,HIGH,6.8,2026-04-20
CVE-2021-21224,NA,NA,NA,2026-04-20
CVE-2021-21193,NA,NA,NA,2026-04-20
CVE-2021-21220,NA,NA,NA,2026-04-20
CVE-2021-30563,NA,NA,NA,2026-04-20
CVE-2020-4430,NA,NA,NA,2026-04-20
CVE-2020-4427,NA,NA,NA,2026-04-20
CVE-2020-4428,NA,NA,NA,2026-04-20
CVE-2019-4716,9.8,CRITICAL,10,2026-04-20
CVE-2016-3715,NA,NA,NA,2026-04-20
CVE-2016-3718,NA,NA,NA,2026-04-20
CVE-2020-15505,NA,NA,NA,2026-04-20
CVE-2021-30116,NA,NA,NA,2026-04-20
CVE-2020-7961,NA,NA,NA,2026-04-20
CVE-2021-23874,NA,NA,NA,2026-04-20
CVE-2021-22506,7.5,HIGH,5,2026-04-20
CVE-2021-22502,NA,NA,NA,2026-04-20
CVE-2014-1812,NA,NA,NA,2026-04-20
CVE-2021-38647,NA,NA,NA,2026-04-20
CVE-2016-0167,NA,NA,NA,2026-04-20
CVE-2020-0878,NA,NA,NA,2026-04-20
CVE-2021-31955,NA,NA,NA,2026-04-20
CVE-2021-1647,NA,NA,NA,2026-04-20
CVE-2021-33739,8.4,HIGH,4.6,2026-04-20
CVE-2016-0185,NA,NA,NA,2026-04-20
CVE-2020-0683,NA,NA,NA,2026-04-20
CVE-2020-17087,NA,NA,NA,2026-04-20
CVE-2021-33742,NA,NA,NA,2026-04-20
CVE-2021-31199,NA,NA,NA,2026-04-20
CVE-2021-33771,NA,NA,NA,2026-04-20
CVE-2021-31956,7.8,HIGH,9.3,2026-04-20
CVE-2021-31201,NA,NA,NA,2026-04-20
CVE-2021-31979,NA,NA,NA,2026-04-20
CVE-2020-0938,NA,NA,NA,2026-04-20
CVE-2020-17144,NA,NA,NA,2026-04-20
CVE-2020-0986,NA,NA,NA,2026-04-20
CVE-2020-1020,NA,NA,NA,2026-04-20
CVE-2021-38645,7.8,HIGH,4.6,2026-04-20
CVE-2021-34523,NA,NA,NA,2026-04-20
CVE-2017-7269,NA,NA,NA,2026-04-20
CVE-2021-36948,NA,NA,NA,2026-04-20
CVE-2021-38649,NA,NA,NA,2026-04-20
CVE-2020-0688,NA,NA,NA,2026-04-20
CVE-2017-0143,NA,NA,NA,2026-04-20
CVE-2016-7255,NA,NA,NA,2026-04-20
CVE-2019-0708,9.8,CRITICAL,10,2026-04-20
CVE-2021-34473,NA,NA,NA,2026-04-20
CVE-2020-1464,NA,NA,NA,2026-04-20
CVE-2021-1732,NA,NA,NA,2026-04-20
CVE-2021-34527,NA,NA,NA,2026-04-20
CVE-2021-31207,NA,NA,NA,2026-04-20
CVE-2019-0803,NA,NA,NA,2026-04-20
CVE-2020-1040,9,CRITICAL,7.7,2026-04-20
CVE-2021-28310,NA,NA,NA,2026-04-20
CVE-2020-1350,NA,NA,NA,2026-04-20
CVE-2021-26411,NA,NA,NA,2026-04-20
CVE-2019-0859,NA,NA,NA,2026-04-20
CVE-2021-40444,NA,NA,NA,2026-04-20
CVE-2017-8759,NA,NA,NA,2026-04-20
CVE-2018-8653,7.5,HIGH,7.6,2026-04-20
CVE-2019-0797,NA,NA,NA,2026-04-20
CVE-2021-36942,NA,NA,NA,2026-04-20
CVE-2019-1215,NA,NA,NA,2026-04-20
CVE-2018-0798,NA,NA,NA,2026-04-20
CVE-2018-0802,NA,NA,NA,2026-04-20
CVE-2012-0158,NA,NA,NA,2026-04-20
CVE-2015-1641,NA,NA,NA,2026-04-20
CVE-2021-27085,8.8,HIGH,7.6,2026-04-20
CVE-2019-0541,NA,NA,NA,2026-04-20
CVE-2017-11882,NA,NA,NA,2026-04-20
CVE-2020-0674,NA,NA,NA,2026-04-20
CVE-2021-27059,NA,NA,NA,2026-04-20
CVE-2019-1367,NA,NA,NA,2026-04-20
CVE-2017-0199,NA,NA,NA,2026-04-20
CVE-2020-1380,7.8,HIGH,7.6,2026-04-20
CVE-2019-1429,NA,NA,NA,2026-04-20
CVE-2017-11774,NA,NA,NA,2026-04-20
CVE-2020-0968,NA,NA,NA,2026-04-20
CVE-2020-1472,NA,NA,NA,2026-04-20
CVE-2021-26855,NA,NA,NA,2026-04-20
CVE-2021-26858,NA,NA,NA,2026-04-20
CVE-2021-27065,NA,NA,NA,2026-04-20
CVE-2020-1054,7.8,HIGH,7.2,2026-04-20
CVE-2021-1675,NA,NA,NA,2026-04-20
CVE-2021-34448,NA,NA,NA,2026-04-20
CVE-2020-0601,NA,NA,NA,2026-04-20
CVE-2019-0604,NA,NA,NA,2026-04-20
CVE-2020-0646,NA,NA,NA,2026-04-20
CVE-2019-0808,NA,NA,NA,2026-04-20
CVE-2021-26857,7.8,HIGH,6.8,2026-04-20
CVE-2020-1147,NA,NA,NA,2026-04-20
CVE-2019-1214,NA,NA,NA,2026-04-20
CVE-2016-3235,NA,NA,NA,2026-04-20
CVE-2019-0863,NA,NA,NA,2026-04-20
CVE-2021-36955,NA,NA,NA,2026-04-20
CVE-2021-38648,NA,NA,NA,2026-04-20
CVE-2020-6819,8.1,HIGH,6.8,2026-04-20
CVE-2020-6820,NA,NA,NA,2026-04-20
CVE-2019-17026,NA,NA,NA,2026-04-20
CVE-2019-15949,NA,NA,NA,2026-04-20
CVE-2020-26919,NA,NA,NA,2026-04-20
CVE-2019-19356,NA,NA,NA,2026-04-20
CVE-2020-2555,NA,NA,NA,2026-04-20
CVE-2012-3152,NA,NA,NA,2026-04-20
CVE-2020-14871,10,CRITICAL,10,2026-04-20
CVE-2015-4852,NA,NA,NA,2026-04-20
CVE-2020-14750,NA,NA,NA,2026-04-20
CVE-2020-14882,NA,NA,NA,2026-04-20
CVE-2020-14883,NA,NA,NA,2026-04-20
CVE-2020-8644,NA,NA,NA,2026-04-20
CVE-2019-18935,NA,NA,NA,2026-04-20
CVE-2021-22893,10,CRITICAL,7.5,2026-04-20
CVE-2020-8243,NA,NA,NA,2026-04-20
CVE-2021-22900,NA,NA,NA,2026-04-20
CVE-2021-22894,NA,NA,NA,2026-04-20
CVE-2020-8260,NA,NA,NA,2026-04-20
CVE-2021-22899,NA,NA,NA,2026-04-20
CVE-2019-11510,10,CRITICAL,7.5,2026-04-20
CVE-2019-11539,NA,NA,NA,2026-04-20
CVE-2021-1906,NA,NA,NA,2026-04-20
CVE-2021-1905,NA,NA,NA,2026-04-20
CVE-2020-10221,NA,NA,NA,2026-04-20
CVE-2021-35395,NA,NA,NA,2026-04-20
CVE-2017-16651,NA,NA,NA,2026-04-20
CVE-2020-11652,NA,NA,NA,2026-04-20
CVE-2020-11651,9.8,CRITICAL,7.5,2026-04-20
CVE-2020-16846,NA,NA,NA,2026-04-20
CVE-2018-2380,NA,NA,NA,2026-04-20
CVE-2010-5326,NA,NA,NA,2026-04-20
CVE-2016-9563,NA,NA,NA,2026-04-20
CVE-2020-6287,NA,NA,NA,2026-04-20
CVE-2020-6207,NA,NA,NA,2026-04-20
CVE-2016-3976,7.5,HIGH,5,2026-04-20
CVE-2019-16256,NA,NA,NA,2026-04-20
CVE-2020-10148,NA,NA,NA,2026-04-20
CVE-2021-35211,NA,NA,NA,2026-04-20
CVE-2016-3643,NA,NA,NA,2026-04-20
CVE-2020-10199,NA,NA,NA,2026-04-20
CVE-2021-20021,NA,NA,NA,2026-04-20
CVE-2019-7481,NA,NA,NA,2026-04-20
CVE-2021-20022,7.2,HIGH,7.5,2026-04-20
CVE-2021-20023,NA,NA,NA,2026-04-20
CVE-2021-20016,NA,NA,NA,2026-04-20
CVE-2020-12271,NA,NA,NA,2026-04-20
CVE-2020-10181,NA,NA,NA,2026-04-20
CVE-2017-6327,NA,NA,NA,2026-04-20
CVE-2019-18988,NA,NA,NA,2026-04-20
CVE-2017-9248,9.8,CRITICAL,7.5,2026-04-20
CVE-2021-31755,NA,NA,NA,2026-04-20
CVE-2020-10987,NA,NA,NA,2026-04-20
CVE-2018-14558,NA,NA,NA,2026-04-20
