cve,cvss_v3_base,cvss_v3_severity,cvss_v2_base,last_fetched
CVE-2023-32435,NA,NA,NA,2026-04-20
CVE-2023-32439,NA,NA,NA,2026-04-20
CVE-2023-20867,3.9,LOW,NA,2026-04-20
CVE-2023-27992,NA,NA,NA,2026-04-20
CVE-2023-20887,NA,NA,NA,2026-04-20
CVE-2020-35730,NA,NA,NA,2026-04-20
CVE-2020-12641,NA,NA,NA,2026-04-20
CVE-2021-44026,NA,NA,NA,2026-04-20
CVE-2016-9079,NA,NA,NA,2026-04-20
CVE-2016-0165,7.8,HIGH,7.2,2026-04-20
CVE-2023-27997,NA,NA,NA,2026-04-20
CVE-2023-3079,NA,NA,NA,2026-04-20
CVE-2023-33009,NA,NA,NA,2026-04-20
CVE-2023-33010,NA,NA,NA,2026-04-20
CVE-2023-34362,NA,NA,NA,2026-04-20
CVE-2023-28771,9.8,CRITICAL,NA,2026-04-20
CVE-2023-2868,NA,NA,NA,2026-04-20
CVE-2023-32409,NA,NA,NA,2026-04-20
CVE-2023-28204,NA,NA,NA,2026-04-20
CVE-2023-32373,NA,NA,NA,2026-04-20
CVE-2004-1464,NA,NA,NA,2026-04-20
CVE-2016-6415,NA,NA,NA,2026-04-20
CVE-2023-21492,NA,NA,NA,2026-04-20
CVE-2023-25717,9.8,CRITICAL,NA,2026-04-20
CVE-2021-3560,NA,NA,NA,2026-04-20
CVE-2014-0196,NA,NA,NA,2026-04-20
CVE-2010-3904,NA,NA,NA,2026-04-20
CVE-2015-5317,NA,NA,NA,2026-04-20
CVE-2016-3427,NA,NA,NA,2026-04-20
CVE-2016-8735,NA,NA,NA,2026-04-20
CVE-2023-29336,7.8,HIGH,NA,2026-04-20
CVE-2023-1389,NA,NA,NA,2026-04-20
CVE-2021-45046,NA,NA,NA,2026-04-20
CVE-2023-21839,NA,NA,NA,2026-04-20
CVE-2023-28432,NA,NA,NA,2026-04-20
CVE-2023-27350,NA,NA,NA,2026-04-20
CVE-2023-2136,NA,NA,NA,2026-04-20
CVE-2017-6742,NA,NA,NA,2026-04-20
CVE-2019-8526,7.8,HIGH,7.2,2026-04-20
CVE-2023-2033,NA,NA,NA,2026-04-20
CVE-2023-20963,NA,NA,NA,2026-04-20
CVE-2023-29492,NA,NA,NA,2026-04-20
CVE-2023-28252,NA,NA,NA,2026-04-20
CVE-2023-28205,NA,NA,NA,2026-04-20
CVE-2023-28206,NA,NA,NA,2026-04-20
CVE-2021-27876,8.1,HIGH,7.5,2026-04-20
CVE-2021-27877,NA,NA,NA,2026-04-20
CVE-2021-27878,NA,NA,NA,2026-04-20
CVE-2019-1388,NA,NA,NA,2026-04-20
CVE-2023-26083,NA,NA,NA,2026-04-20
CVE-2022-27926,NA,NA,NA,2026-04-20
CVE-2013-3163,NA,NA,NA,2026-04-20
CVE-2017-7494,NA,NA,NA,2026-04-20
CVE-2022-42948,9.8,CRITICAL,NA,2026-04-20
CVE-2022-39197,NA,NA,NA,2026-04-20
CVE-2021-30900,NA,NA,NA,2026-04-20
CVE-2022-38181,NA,NA,NA,2026-04-20
CVE-2023-0266,NA,NA,NA,2026-04-20
CVE-2022-3038,NA,NA,NA,2026-04-20
CVE-2022-22706,NA,NA,NA,2026-04-20
CVE-2023-26360,8.6,HIGH,NA,2026-04-20
CVE-2023-23397,NA,NA,NA,2026-04-20
CVE-2023-24880,NA,NA,NA,2026-04-20
CVE-2022-41328,NA,NA,NA,2026-04-20
CVE-2021-39144,NA,NA,NA,2026-04-20
CVE-2020-5741,NA,NA,NA,2026-04-20
CVE-2022-28810,NA,NA,NA,2026-04-20
CVE-2022-33891,8.8,HIGH,NA,2026-04-20
CVE-2022-35914,NA,NA,NA,2026-04-20
CVE-2022-36537,NA,NA,NA,2026-04-20
CVE-2022-47986,NA,NA,NA,2026-04-20
CVE-2022-41223,NA,NA,NA,2026-04-20
CVE-2022-40765,NA,NA,NA,2026-04-20
CVE-2022-46169,NA,NA,NA,2026-04-20
CVE-2023-21715,7.3,HIGH,NA,2026-04-20
CVE-2023-23376,NA,NA,NA,2026-04-20
CVE-2023-23529,NA,NA,NA,2026-04-20
CVE-2023-21823,NA,NA,NA,2026-04-20
CVE-2015-2291,NA,NA,NA,2026-04-20
CVE-2022-24990,NA,NA,NA,2026-04-20
CVE-2023-0669,NA,NA,NA,2026-04-20
CVE-2022-21587,9.8,CRITICAL,NA,2026-04-20
CVE-2023-22952,NA,NA,NA,2026-04-20
CVE-2017-11357,NA,NA,NA,2026-04-20
CVE-2022-47966,NA,NA,NA,2026-04-20
CVE-2022-44877,NA,NA,NA,2026-04-20
CVE-2022-41080,NA,NA,NA,2026-04-20
CVE-2023-21674,NA,NA,NA,2026-04-20
CVE-2018-5430,NA,NA,NA,2026-04-20
CVE-2018-18809,6.5,MEDIUM,4,2026-04-20
CVE-2022-42856,NA,NA,NA,2026-04-20
CVE-2022-42475,NA,NA,NA,2026-04-20
CVE-2022-44698,NA,NA,NA,2026-04-20
CVE-2022-27518,NA,NA,NA,2026-04-20
CVE-2022-26500,NA,NA,NA,2026-04-20
CVE-2022-26501,NA,NA,NA,2026-04-20
CVE-2022-4262,8.8,HIGH,NA,2026-04-20
CVE-2021-35587,NA,NA,NA,2026-04-20
CVE-2022-4135,NA,NA,NA,2026-04-20
CVE-2022-41049,NA,NA,NA,2026-04-20
CVE-2022-41091,NA,NA,NA,2026-04-20
CVE-2022-41073,NA,NA,NA,2026-04-20
CVE-2022-41125,NA,NA,NA,2026-04-20
CVE-2022-41128,8.8,HIGH,NA,2026-04-20
CVE-2021-25337,NA,NA,NA,2026-04-20
CVE-2021-25369,NA,NA,NA,2026-04-20
CVE-2021-25370,NA,NA,NA,2026-04-20
CVE-2022-3723,NA,NA,NA,2026-04-20
CVE-2022-42827,NA,NA,NA,2026-04-20
CVE-2020-3433,NA,NA,NA,2026-04-20
CVE-2020-3153,6.5,MEDIUM,4.9,2026-04-20
CVE-2018-19323,NA,NA,NA,2026-04-20
CVE-2018-19322,NA,NA,NA,2026-04-20
CVE-2018-19321,NA,NA,NA,2026-04-20
CVE-2018-19320,NA,NA,NA,2026-04-20
CVE-2022-41352,NA,NA,NA,2026-04-20
CVE-2021-3493,NA,NA,NA,2026-04-20
CVE-2022-40684,NA,NA,NA,2026-04-20
CVE-2022-41033,7.8,HIGH,NA,2026-04-20
CVE-2022-41082,NA,NA,NA,2026-04-20
CVE-2022-41040,NA,NA,NA,2026-04-20
CVE-2022-36804,NA,NA,NA,2026-04-20
CVE-2022-3236,NA,NA,NA,2026-04-20
CVE-2022-35405,NA,NA,NA,2026-04-20
CVE-2022-40139,NA,NA,NA,2026-04-20
CVE-2013-6282,8.8,HIGH,7.2,2026-04-20
CVE-2013-2597,NA,NA,NA,2026-04-20
CVE-2013-2596,NA,NA,NA,2026-04-20
CVE-2013-2094,NA,NA,NA,2026-04-20
CVE-2010-2568,NA,NA,NA,2026-04-20
CVE-2022-37969,NA,NA,NA,2026-04-20
CVE-2022-32917,NA,NA,NA,2026-04-20
CVE-2022-3075,9.6,CRITICAL,NA,2026-04-20
CVE-2022-27593,NA,NA,NA,2026-04-20
CVE-2022-26258,NA,NA,NA,2026-04-20
CVE-2020-9934,NA,NA,NA,2026-04-20
CVE-2018-7445,NA,NA,NA,2026-04-20
CVE-2018-6530,NA,NA,NA,2026-04-20
CVE-2018-2628,NA,NA,NA,2026-04-20
CVE-2018-13374,NA,NA,NA,2026-04-20
CVE-2017-5521,8.1,HIGH,4.3,2026-04-20
CVE-2011-4723,NA,NA,NA,2026-04-20
CVE-2011-1823,NA,NA,NA,2026-04-20
CVE-2022-26352,NA,NA,NA,2026-04-20
CVE-2022-24706,NA,NA,NA,2026-04-20
CVE-2022-24112,NA,NA,NA,2026-04-20
CVE-2022-22963,NA,NA,NA,2026-04-20
CVE-2022-2294,8.8,HIGH,NA,2026-04-20
CVE-2021-39226,NA,NA,NA,2026-04-20
CVE-2021-38406,NA,NA,NA,2026-04-20
CVE-2021-31010,NA,NA,NA,2026-04-20
CVE-2020-36193,NA,NA,NA,2026-04-20
CVE-2020-28949,NA,NA,NA,2026-04-20
CVE-2022-0028,NA,NA,NA,2026-04-20
CVE-2022-22536,10,CRITICAL,10,2026-04-20
CVE-2022-32894,NA,NA,NA,2026-04-20
CVE-2022-32893,NA,NA,NA,2026-04-20
CVE-2022-2856,NA,NA,NA,2026-04-20
CVE-2022-26923,NA,NA,NA,2026-04-20
CVE-2022-21971,NA,NA,NA,2026-04-20
CVE-2017-15944,NA,NA,NA,2026-04-20
CVE-2022-27925,7.2,HIGH,6.5,2026-04-20
CVE-2022-37042,NA,NA,NA,2026-04-20
CVE-2022-34713,NA,NA,NA,2026-04-20
CVE-2022-30333,NA,NA,NA,2026-04-20
CVE-2022-27924,NA,NA,NA,2026-04-20
CVE-2022-26138,NA,NA,NA,2026-04-20
CVE-2022-22047,NA,NA,NA,2026-04-20
CVE-2022-26925,8.1,HIGH,4.3,2026-04-20
CVE-2022-29499,NA,NA,NA,2026-04-20
CVE-2021-30533,NA,NA,NA,2026-04-20
CVE-2021-4034,NA,NA,NA,2026-04-20
CVE-2021-30983,NA,NA,NA,2026-04-20
CVE-2020-3837,NA,NA,NA,2026-04-20
CVE-2020-9907,NA,NA,NA,2026-04-20
CVE-2019-8605,7.8,HIGH,9.3,2026-04-20
CVE-2018-4344,NA,NA,NA,2026-04-20
CVE-2022-30190,NA,NA,NA,2026-04-20
CVE-2021-38163,NA,NA,NA,2026-04-20
CVE-2016-2386,NA,NA,NA,2026-04-20
CVE-2016-2388,NA,NA,NA,2026-04-20
CVE-2019-7195,NA,NA,NA,2026-04-20
CVE-2019-7194,9.8,CRITICAL,7.5,2026-04-20
CVE-2019-7193,NA,NA,NA,2026-04-20
CVE-2019-7192,NA,NA,NA,2026-04-20
CVE-2019-5825,NA,NA,NA,2026-04-20
CVE-2019-15271,NA,NA,NA,2026-04-20
CVE-2018-6065,NA,NA,NA,2026-04-20
CVE-2018-4990,NA,NA,NA,2026-04-20
CVE-2018-17480,8.8,HIGH,6.8,2026-04-20
CVE-2018-17463,NA,NA,NA,2026-04-20
CVE-2017-6862,NA,NA,NA,2026-04-20
CVE-2017-5070,NA,NA,NA,2026-04-20
CVE-2017-5030,NA,NA,NA,2026-04-20
CVE-2016-5198,NA,NA,NA,2026-04-20
CVE-2016-1646,NA,NA,NA,2026-04-20
CVE-2013-1331,NA,NA,NA,2026-04-20
CVE-2012-5054,8.8,HIGH,9.3,2026-04-20
CVE-2012-4969,NA,NA,NA,2026-04-20
CVE-2012-1889,NA,NA,NA,2026-04-20
CVE-2012-0767,NA,NA,NA,2026-04-20
CVE-2012-0754,NA,NA,NA,2026-04-20
CVE-2012-0151,NA,NA,NA,2026-04-20
CVE-2011-2462,NA,NA,NA,2026-04-20
CVE-2011-0609,7.8,HIGH,9.3,2026-04-20
CVE-2010-2883,NA,NA,NA,2026-04-20
CVE-2010-2572,NA,NA,NA,2026-04-20
CVE-2010-1297,NA,NA,NA,2026-04-20
CVE-2009-4324,NA,NA,NA,2026-04-20
CVE-2009-3953,NA,NA,NA,2026-04-20
CVE-2009-1862,NA,NA,NA,2026-04-20
CVE-2009-0563,7.8,HIGH,9.3,2026-04-20
CVE-2009-0557,NA,NA,NA,2026-04-20
CVE-2008-0655,NA,NA,NA,2026-04-20
CVE-2007-5659,NA,NA,NA,2026-04-20
CVE-2006-2492,NA,NA,NA,2026-04-20
CVE-2022-26134,NA,NA,NA,2026-04-20
CVE-2019-3010,NA,NA,NA,2026-04-20
CVE-2016-3393,7.8,HIGH,9.3,2026-04-20
CVE-2016-7256,NA,NA,NA,2026-04-20
CVE-2016-1010,NA,NA,NA,2026-04-20
CVE-2016-0984,NA,NA,NA,2026-04-20
CVE-2016-0034,NA,NA,NA,2026-04-20
CVE-2015-0310,NA,NA,NA,2026-04-20
CVE-2015-0016,NA,NA,NA,2026-04-20
CVE-2015-0071,6.5,MEDIUM,4.3,2026-04-20
CVE-2015-2360,NA,NA,NA,2026-04-20
CVE-2015-2425,NA,NA,NA,2026-04-20
CVE-2015-1769,NA,NA,NA,2026-04-20
CVE-2015-4495,NA,NA,NA,2026-04-20
CVE-2015-8651,NA,NA,NA,2026-04-20
CVE-2015-6175,NA,NA,NA,2026-04-20
CVE-2015-1671,NA,NA,NA,2026-04-20
CVE-2014-4148,8.8,HIGH,9.3,2026-04-20
CVE-2014-8439,NA,NA,NA,2026-04-20
CVE-2014-4123,NA,NA,NA,2026-04-20
CVE-2014-0546,NA,NA,NA,2026-04-20
CVE-2014-2817,NA,NA,NA,2026-04-20
CVE-2014-4077,NA,NA,NA,2026-04-20
CVE-2014-3153,NA,NA,NA,2026-04-20
CVE-2013-7331,6.5,MEDIUM,4.3,2026-04-20
CVE-2013-3993,NA,NA,NA,2026-04-20
CVE-2013-3896,NA,NA,NA,2026-04-20
CVE-2013-2423,NA,NA,NA,2026-04-20
CVE-2013-0431,NA,NA,NA,2026-04-20
CVE-2013-0422,NA,NA,NA,2026-04-20
CVE-2013-0074,NA,NA,NA,2026-04-20
CVE-2012-1710,NA,NA,NA,2026-04-20
