president,party,start_date,end_date,effective_end,ongoing,duration_days
Bill Clinton,Democratic,1993-01-20,2001-01-20,2001-01-20,FALSE,2922
George W. Bush,Republican,2001-01-20,2009-01-20,2009-01-20,FALSE,2922
Barack Obama,Democratic,2009-01-20,2017-01-20,2017-01-20,FALSE,2922
Donald Trump (1st term),Republican,2017-01-20,2021-01-20,2021-01-20,FALSE,1461
Joe Biden,Democratic,2021-01-20,2025-01-20,2025-01-20,FALSE,1461
Donald Trump (2nd term),Republican,2025-01-20,NA,2026-04-19,TRUE,454
