duoarea,area_name,price_now,price_10y_ago,pct_change_10y,abs_change_10y,date_10y_ago
R20,PADD 2,4.091,2.135,91.6,1.956,2016-09-12
R10,PADD 1,4.191,2.147,95.2,2.044,2016-09-12
R30,PADD 3,3.852,1.973,95.2,1.879,2016-09-12
R50,PADD 5,5.467,2.632,107.7,2.835,2016-09-12
R40,PADD 4,4.438,2.274,95.2,2.164,2016-09-12
