president,party,start_date,end_date,ongoing,umcsent_avg,umcsent_min,umcsent_max,months,umcsent_vs_baseline,gallup_avg,gallup_min,gallup_max,gallup_last,gallup_vs_baseline
Bill Clinton,Democratic,1993-01-20,2001-01-20,FALSE,106.2,94.7,112,25,23.6,55.1,37,73,66,8
George W. Bush,Republican,2001-01-20,2009-01-20,FALSE,85.5,55.3,103.8,96,2.9,49.4,25,90,34,2.3
Barack Obama,Democratic,2009-01-20,2017-01-20,FALSE,79.2,55.8,98.5,96,-3.4,47.9,40,67,59,0.8
Donald Trump (1st term),Republican,2017-01-20,2021-01-20,FALSE,92.8,71.8,101.4,48,10.2,41,34,49,34,-6.1
Joe Biden,Democratic,2021-01-20,2025-01-20,FALSE,68.5,50,88.3,48,-14.1,42.2,37,57,38,-4.9
Donald Trump (2nd term),Republican,2025-01-20,NA,TRUE,56.3,51,64.7,13,-26.3,NA,NA,NA,NA,NA
BASELINE (avg of displayed admins),NA,NA,NA,NA,82.6,NA,NA,NA,NA,47.1,NA,NA,NA,NA
