year,geo,geo_label,value
2005,martin,Martin Co. (Stanton),249229
2005,mason,Mason Co. (Mason),83073
2005,mcculloch,McCulloch Co. (Brady),243905
2005,menard,Menard Co. (Menard),44760
2005,midland,Midland Co. (Midland),6304124
2005,pecos,Pecos Co. (Fort Stockton),1539095
2005,reagan,Reagan Co. (Big Lake),369547
2005,reeves,Reeves Co. (Pecos),310619
2005,schleicher,Schleicher Co. (Eldorado),155909
2005,sterling,Sterling Co. (Sterling City),180843
2005,sutton,Sutton Co. (Sonora),783351
2005,terrell,Terrell Co. (Sanderson),342423
2005,tom_green,Tom Green Co. (San Angelo),4095818
2005,TX,Texas,1143413077
2005,upton,Upton Co. (Rankin),662929
2005,US,United States,15987957000
2005,ward,Ward Co. (Monahans),571967
2005,winkler,Winkler Co. (Kermit),496267
2006,andrews,Andrews Co. (Andrews),1489703
2006,borden,Borden Co. (Gail),185739
2006,coke,Coke Co. (Robert Lee),97331
2006,concho,Concho Co. (Paint Rock),101743
2006,crane,Crane Co. (Crane),699558
2006,crockett,Crockett Co. (Ozona),747294
2006,dawson,Dawson Co. (Lamesa),540013
2006,ector,Ector Co. (Odessa),6679741
2006,gaines,Gaines Co. (Seminole),1717961
2006,glasscock,Glasscock Co. (Garden City),194910
2006,howard,Howard Co. (Big Spring),1179018
2006,irion,Irion Co. (Mertzon),141834
2006,kimble,Kimble Co. (Junction),127146
2006,loving,Loving Co. (Mentone),400312
2006,martin,Martin Co. (Stanton),297401
2006,mason,Mason Co. (Mason),98568
2006,mcculloch,McCulloch Co. (Brady),256346
2006,menard,Menard Co. (Menard),45958
2006,midland,Midland Co. (Midland),7335244
2006,pecos,Pecos Co. (Fort Stockton),1673052
2006,reagan,Reagan Co. (Big Lake),404905
2006,reeves,Reeves Co. (Pecos),322165
2006,schleicher,Schleicher Co. (Eldorado),180290
2006,sterling,Sterling Co. (Sterling City),182601
2006,sutton,Sutton Co. (Sonora),836019
2006,terrell,Terrell Co. (Sanderson),384712
2006,tom_green,Tom Green Co. (San Angelo),4097506
2006,TX,Texas,1225147261
2006,upton,Upton Co. (Rankin),740870
2006,US,United States,16433148000
2006,ward,Ward Co. (Monahans),672478
2006,winkler,Winkler Co. (Kermit),590278
2007,andrews,Andrews Co. (Andrews),1626221
2007,borden,Borden Co. (Gail),205296
2007,coke,Coke Co. (Robert Lee),100774
2007,concho,Concho Co. (Paint Rock),112351
2007,crane,Crane Co. (Crane),793521
2007,crockett,Crockett Co. (Ozona),749552
2007,dawson,Dawson Co. (Lamesa),645453
2007,ector,Ector Co. (Odessa),7372008
2007,gaines,Gaines Co. (Seminole),1815689
2007,glasscock,Glasscock Co. (Garden City),250281
2007,howard,Howard Co. (Big Spring),1326798
2007,irion,Irion Co. (Mertzon),182759
2007,kimble,Kimble Co. (Junction),117200
2007,loving,Loving Co. (Mentone),542523
2007,martin,Martin Co. (Stanton),401160
2007,mason,Mason Co. (Mason),76398
2007,mcculloch,McCulloch Co. (Brady),277474
2007,menard,Menard Co. (Menard),44000
2007,midland,Midland Co. (Midland),7972227
2007,pecos,Pecos Co. (Fort Stockton),1959866
