year,geo,geo_label,value,gdp_growth_pct
2001,andrews,Andrews Co. (Andrews),1237772,
2002,andrews,Andrews Co. (Andrews),1637151,32.27
2003,andrews,Andrews Co. (Andrews),1166320,-28.76
2004,andrews,Andrews Co. (Andrews),1162589,-0.32
2005,andrews,Andrews Co. (Andrews),1200768,3.28
2006,andrews,Andrews Co. (Andrews),1489703,24.06
2007,andrews,Andrews Co. (Andrews),1626221,9.16
2008,andrews,Andrews Co. (Andrews),1589049,-2.29
2009,andrews,Andrews Co. (Andrews),1981982,24.73
2010,andrews,Andrews Co. (Andrews),1926167,-2.82
2011,andrews,Andrews Co. (Andrews),2227113,15.62
2012,andrews,Andrews Co. (Andrews),2967163,33.23
2013,andrews,Andrews Co. (Andrews),2830637,-4.6
2014,andrews,Andrews Co. (Andrews),2716971,-4.02
2015,andrews,Andrews Co. (Andrews),2862564,5.36
2016,andrews,Andrews Co. (Andrews),2872740,0.36
2017,andrews,Andrews Co. (Andrews),2663256,-7.29
2018,andrews,Andrews Co. (Andrews),2803950,5.28
2019,andrews,Andrews Co. (Andrews),2921685,4.2
2020,andrews,Andrews Co. (Andrews),2682766,-8.18
2021,andrews,Andrews Co. (Andrews),2960028,10.33
2022,andrews,Andrews Co. (Andrews),2780286,-6.07
2023,andrews,Andrews Co. (Andrews),4453975,60.2
2024,andrews,Andrews Co. (Andrews),4737748,6.37
2001,borden,Borden Co. (Gail),151494,
2002,borden,Borden Co. (Gail),224837,48.41
2003,borden,Borden Co. (Gail),161120,-28.34
2004,borden,Borden Co. (Gail),166118,3.1
2005,borden,Borden Co. (Gail),164674,-0.87
2006,borden,Borden Co. (Gail),185739,12.79
2007,borden,Borden Co. (Gail),205296,10.53
2008,borden,Borden Co. (Gail),190072,-7.42
2009,borden,Borden Co. (Gail),243281,27.99
2010,borden,Borden Co. (Gail),226431,-6.93
2011,borden,Borden Co. (Gail),237382,4.84
2012,borden,Borden Co. (Gail),278258,17.22
2013,borden,Borden Co. (Gail),260148,-6.51
2014,borden,Borden Co. (Gail),210840,-18.95
2015,borden,Borden Co. (Gail),226042,7.21
2016,borden,Borden Co. (Gail),264401,16.97
2017,borden,Borden Co. (Gail),238571,-9.77
2018,borden,Borden Co. (Gail),287171,20.37
2019,borden,Borden Co. (Gail),446349,55.43
2020,borden,Borden Co. (Gail),436425,-2.22
2021,borden,Borden Co. (Gail),416932,-4.47
2022,borden,Borden Co. (Gail),476668,14.33
2023,borden,Borden Co. (Gail),892658,87.27
2024,borden,Borden Co. (Gail),1091478,22.27
2001,coke,Coke Co. (Robert Lee),115668,
2002,coke,Coke Co. (Robert Lee),118945,2.83
2003,coke,Coke Co. (Robert Lee),103084,-13.33
2004,coke,Coke Co. (Robert Lee),94775,-8.06
2005,coke,Coke Co. (Robert Lee),90304,-4.72
2006,coke,Coke Co. (Robert Lee),97331,7.78
2007,coke,Coke Co. (Robert Lee),100774,3.54
2008,coke,Coke Co. (Robert Lee),102854,2.06
2009,coke,Coke Co. (Robert Lee),132971,29.28
2010,coke,Coke Co. (Robert Lee),129018,-2.97
2011,coke,Coke Co. (Robert Lee),115887,-10.18
2012,coke,Coke Co. (Robert Lee),130781,12.85
2013,coke,Coke Co. (Robert Lee),132341,1.19
2014,coke,Coke Co. (Robert Lee),116352,-12.08
2015,coke,Coke Co. (Robert Lee),115793,-0.48
2016,coke,Coke Co. (Robert Lee),107370,-7.27
2017,coke,Coke Co. (Robert Lee),90796,-15.44
2018,coke,Coke Co. (Robert Lee),96546,6.33
2019,coke,Coke Co. (Robert Lee),93543,-3.11
2020,coke,Coke Co. (Robert Lee),97826,4.58
2021,coke,Coke Co. (Robert Lee),176595,80.52
2022,coke,Coke Co. (Robert Lee),190726,8
2023,coke,Coke Co. (Robert Lee),208359,9.25
2024,coke,Coke Co. (Robert Lee),246134,18.13
2001,concho,Concho Co. (Paint Rock),124209,
2002,concho,Concho Co. (Paint Rock),127560,2.7
2003,concho,Concho Co. (Paint Rock),108180,-15.19
2004,concho,Concho Co. (Paint Rock),108388,0.19
2005,concho,Concho Co. (Paint Rock),105602,-2.57
2006,concho,Concho Co. (Paint Rock),101743,-3.65
2007,concho,Concho Co. (Paint Rock),112351,10.43
2008,concho,Concho Co. (Paint Rock),94467,-15.92
2009,concho,Concho Co. (Paint Rock),99596,5.43
2010,concho,Concho Co. (Paint Rock),96084,-3.53
2011,concho,Concho Co. (Paint Rock),104658,8.92
2012,concho,Concho Co. (Paint Rock),101674,-2.85
2013,concho,Concho Co. (Paint Rock),124276,22.23
2014,concho,Concho Co. (Paint Rock),105790,-14.87
2015,concho,Concho Co. (Paint Rock),100019,-5.46
2016,concho,Concho Co. (Paint Rock),91996,-8.02
2017,concho,Concho Co. (Paint Rock),77629,-15.62
2018,concho,Concho Co. (Paint Rock),80841,4.14
2019,concho,Concho Co. (Paint Rock),106692,31.98
2020,concho,Concho Co. (Paint Rock),122079,14.42
2021,concho,Concho Co. (Paint Rock),128100,4.93
2022,concho,Concho Co. (Paint Rock),211151,64.83
2023,concho,Concho Co. (Paint Rock),231155,9.47
2024,concho,Concho Co. (Paint Rock),231602,0.19
2001,crane,Crane Co. (Crane),731093,
2002,crane,Crane Co. (Crane),883413,20.83
2003,crane,Crane Co. (Crane),684751,-22.49
2004,crane,Crane Co. (Crane),668329,-2.4
2005,crane,Crane Co. (Crane),639612,-4.3
2006,crane,Crane Co. (Crane),699558,9.37
2007,crane,Crane Co. (Crane),793521,13.43
2008,crane,Crane Co. (Crane),732561,-7.68
2009,crane,Crane Co. (Crane),866226,18.25
2010,crane,Crane Co. (Crane),717570,-17.16
2011,crane,Crane Co. (Crane),705653,-1.66
2012,crane,Crane Co. (Crane),842670,19.42
2013,crane,Crane Co. (Crane),862162,2.31
2014,crane,Crane Co. (Crane),787716,-8.63
2015,crane,Crane Co. (Crane),800164,1.58
2016,crane,Crane Co. (Crane),729032,-8.89
2017,crane,Crane Co. (Crane),550870,-24.44
2018,crane,Crane Co. (Crane),493294,-10.45
2019,crane,Crane Co. (Crane),564973,14.53
2020,crane,Crane Co. (Crane),554557,-1.84
2021,crane,Crane Co. (Crane),570948,2.96
2022,crane,Crane Co. (Crane),626772,9.78
2023,crane,Crane Co. (Crane),1009027,60.99
2024,crane,Crane Co. (Crane),1037704,2.84
2001,crockett,Crockett Co. (Ozona),761387,
2002,crockett,Crockett Co. (Ozona),853420,12.09
2003,crockett,Crockett Co. (Ozona),770913,-9.67
2004,crockett,Crockett Co. (Ozona),687855,-10.77
2005,crockett,Crockett Co. (Ozona),684838,-0.44
2006,crockett,Crockett Co. (Ozona),747294,9.12
2007,crockett,Crockett Co. (Ozona),749552,0.3
2008,crockett,Crockett Co. (Ozona),673153,-10.19
2009,crockett,Crockett Co. (Ozona),768470,14.16
2010,crockett,Crockett Co. (Ozona),576718,-24.95
2011,crockett,Crockett Co. (Ozona),525917,-8.81
2012,crockett,Crockett Co. (Ozona),609714,15.93
2013,crockett,Crockett Co. (Ozona),735556,20.64
2014,crockett,Crockett Co. (Ozona),874398,18.88
2015,crockett,Crockett Co. (Ozona),942436,7.78
2016,crockett,Crockett Co. (Ozona),905043,-3.97
2017,crockett,Crockett Co. (Ozona),768622,-15.07
2018,crockett,Crockett Co. (Ozona),623527,-18.88
2019,crockett,Crockett Co. (Ozona),607438,-2.58
2020,crockett,Crockett Co. (Ozona),639812,5.33
2021,crockett,Crockett Co. (Ozona),592829,-7.34
2022,crockett,Crockett Co. (Ozona),551656,-6.95
2023,crockett,Crockett Co. (Ozona),689975,25.07
2024,crockett,Crockett Co. (Ozona),690649,0.1
2001,dawson,Dawson Co. (Lamesa),500323,
2002,dawson,Dawson Co. (Lamesa),601033,20.13
2003,dawson,Dawson Co. (Lamesa),529335,-11.93
2004,dawson,Dawson Co. (Lamesa),530450,0.21
2005,dawson,Dawson Co. (Lamesa),535001,0.86
2006,dawson,Dawson Co. (Lamesa),540013,0.94
2007,dawson,Dawson Co. (Lamesa),645453,19.53
2008,dawson,Dawson Co. (Lamesa),517860,-19.77
2009,dawson,Dawson Co. (Lamesa),609040,17.61
2010,dawson,Dawson Co. (Lamesa),680370,11.71
2011,dawson,Dawson Co. (Lamesa),558620,-17.89
2012,dawson,Dawson Co. (Lamesa),657877,17.77
2013,dawson,Dawson Co. (Lamesa),746363,13.45
2014,dawson,Dawson Co. (Lamesa),584605,-21.67
2015,dawson,Dawson Co. (Lamesa),580970,-0.62
2016,dawson,Dawson Co. (Lamesa),575406,-0.96
2017,dawson,Dawson Co. (Lamesa),618706,7.53
2018,dawson,Dawson Co. (Lamesa),682543,10.32
2019,dawson,Dawson Co. (Lamesa),640835,-6.11
2020,dawson,Dawson Co. (Lamesa),664315,3.66
2021,dawson,Dawson Co. (Lamesa),640033,-3.66
2022,dawson,Dawson Co. (Lamesa),771993,20.62
2023,dawson,Dawson Co. (Lamesa),1011813,31.07
2024,dawson,Dawson Co. (Lamesa),1347444,33.17
2001,ector,Ector Co. (Odessa),5261980,
2002,ector,Ector Co. (Odessa),5674143,7.83
2003,ector,Ector Co. (Odessa),5411959,-4.62
2004,ector,Ector Co. (Odessa),5621849,3.88
2005,ector,Ector Co. (Odessa),5769116,2.62
2006,ector,Ector Co. (Odessa),6679741,15.78
2007,ector,Ector Co. (Odessa),7372008,10.36
2008,ector,Ector Co. (Odessa),7985185,8.32
2009,ector,Ector Co. (Odessa),8194656,2.62
2010,ector,Ector Co. (Odessa),8652430,5.59
2011,ector,Ector Co. (Odessa),10164506,17.48
2012,ector,Ector Co. (Odessa),12055281,18.6
2013,ector,Ector Co. (Odessa),12536881,3.99
2014,ector,Ector Co. (Odessa),12685557,1.19
2015,ector,Ector Co. (Odessa),11318562,-10.78
2016,ector,Ector Co. (Odessa),9693922,-14.35
2017,ector,Ector Co. (Odessa),10478298,8.09
2018,ector,Ector Co. (Odessa),12490648,19.2
2019,ector,Ector Co. (Odessa),12974711,3.88
2020,ector,Ector Co. (Odessa),10974379,-15.42
2021,ector,Ector Co. (Odessa),10883278,-0.83
2022,ector,Ector Co. (Odessa),11723302,7.72
2023,ector,Ector Co. (Odessa),13356754,13.93
2024,ector,Ector Co. (Odessa),13751509,2.96
2001,gaines,Gaines Co. (Seminole),1611472,
2002,gaines,Gaines Co. (Seminole),2122970,31.74
2003,gaines,Gaines Co. (Seminole),1634373,-23.01
2004,gaines,Gaines Co. (Seminole),1615221,-1.17
2005,gaines,Gaines Co. (Seminole),1479074,-8.43
2006,gaines,Gaines Co. (Seminole),1717961,16.15
2007,gaines,Gaines Co. (Seminole),1815689,5.69
2008,gaines,Gaines Co. (Seminole),1631014,-10.17
2009,gaines,Gaines Co. (Seminole),2102760,28.92
2010,gaines,Gaines Co. (Seminole),1965080,-6.55
2011,gaines,Gaines Co. (Seminole),1933459,-1.61
2012,gaines,Gaines Co. (Seminole),2302834,19.1
2013,gaines,Gaines Co. (Seminole),2138040,-7.16
2014,gaines,Gaines Co. (Seminole),1825301,-14.63
2015,gaines,Gaines Co. (Seminole),1987055,8.86
2016,gaines,Gaines Co. (Seminole),1964610,-1.13
2017,gaines,Gaines Co. (Seminole),1901840,-3.2
2018,gaines,Gaines Co. (Seminole),1755033,-7.72
2019,gaines,Gaines Co. (Seminole),1958758,11.61
2020,gaines,Gaines Co. (Seminole),1874959,-4.28
2021,gaines,Gaines Co. (Seminole),1688798,-9.93
2022,gaines,Gaines Co. (Seminole),1575314,-6.72
2023,gaines,Gaines Co. (Seminole),2061849,30.88
2024,gaines,Gaines Co. (Seminole),1965380,-4.68
2001,glasscock,Glasscock Co. (Garden City),211998,
2002,glasscock,Glasscock Co. (Garden City),260475,22.87
2003,glasscock,Glasscock Co. (Garden City),207360,-20.39
2004,glasscock,Glasscock Co. (Garden City),186510,-10.05
2005,glasscock,Glasscock Co. (Garden City),184113,-1.29
2006,glasscock,Glasscock Co. (Garden City),194910,5.86
2007,glasscock,Glasscock Co. (Garden City),250281,28.41
2008,glasscock,Glasscock Co. (Garden City),216949,-13.32
2009,glasscock,Glasscock Co. (Garden City),289912,33.63
2010,glasscock,Glasscock Co. (Garden City),334417,15.35
2011,glasscock,Glasscock Co. (Garden City),549077,64.19
2012,glasscock,Glasscock Co. (Garden City),1055241,92.18
2013,glasscock,Glasscock Co. (Garden City),1217328,15.36
2014,glasscock,Glasscock Co. (Garden City),1344663,10.46
2015,glasscock,Glasscock Co. (Garden City),1674191,24.51
2016,glasscock,Glasscock Co. (Garden City),1815530,8.44
2017,glasscock,Glasscock Co. (Garden City),1715900,-5.49
2018,glasscock,Glasscock Co. (Garden City),2186202,27.41
