rank,fips,county,unemployment_rate,as_of
1,48427,Starr,9.9,2026-07-01
2,48127,Dimmit,8.6,2026-07-01
3,48323,Maverick,8.3,2026-07-01
4,48261,Kenedy,7.8,2026-07-01
5,48489,Willacy,7.6,2026-07-01
6,48507,Zavala,7.6,2026-07-01
7,48403,Sabine,7.5,2026-07-01
8,48505,Zapata,7.3,2026-07-01
9,48311,McMullen,7.1,2026-07-01
10,48061,Cameron,7,2026-07-01
